      1 Acinetobacter sp. QHL21
      2 Bacillus sp. 5073
      2 bacterium endosymbiont of Onthophagus Taurus
      2 bacterium symbiont of Siboglinidae sp.
      2 Bhargavaea indica
      2 Carnobacteriaceae bacterium CL2.8
      2 Corynebacterium pseudogenitalium
      2 Delftia acidovorans
      2 Delftia sp. 1(1-3)
      2 Delftia sp. 12(shui)
      2 Delftia sp. 6(1-1)(5.22)
      2 Delftia sp. SAUBS3-5
      2 Enterococcus faecium
      2 Escherichia sp. SOD-7317
      2 gamma proteobacterium R18-5
      2 marine sponge bacterium LIQUIDt167
      2 Massilia aurea
      2 Micrococcus sp. GPM2602
      2 Micrococcus sp. PASCW5
      2 Micromonospora sp. TFS 521
      2 Pseudomonadales bacterium HD-C-02-3
      2 Pseudomonas baetica
      2 Pseudomonas fluorescens
      2 Pseudomonas sp. A1037
      2 Pseudomonas sp. B2047
      2 Pseudomonas sp. B2099
      2 Pseudomonas sp. W14
      2 Pseudomonas sp. Z2NS-100
      2 Rhodococcus sp.
      2 Sphingomonas hylomeconis
      2 Sphingomonas rhizogenes
      2 Sphingopyxis alaskensis
      2 Staphylococcus sp. IM3
      2 Staphylococcus sp. Mg46
      2 Streptomyces sp.
      3 Bacillus sp. 5075
      3 Bacillus sp. B1065
      3 Massilia glaciei
      3 Micrococcus aloeverae
      3 Mycoplasma suis
      3 Pseudomonas sp. M24
      3 Pseudomonas sp. Nj-70
      3 Pseudomonas tolaasii
      3 Sphingomonas koreensis
      3 sponge bacterium Zo24
      3 Staphylococcus cohnii
      3 Staphylococcus haemolyticus
      3 Staphylococcus sp. S5-1-2Y
      3 Staphylococcus sp. Tp8
      4 Bacillus sp. B2101
      4 Bacillus sp. Bt11 OTU2
      4 Caminibacter mediatlanticus TB-2
      4 Comamonas testosteroni
      4 Delftia lacustris
      4 Delftia sp. 6(4-10)(10.5.11)
      4 Escherichia sp. EMB 339
      4 Lactococcus lactis subsp. lactis
      4 Micrococcus sp. LBRF-6
      4 Moraxella sp.
      4 Moraxella sp. 30C(2010);Moraxella sp. 24B(2010)
      4 Pseudomonas sp. B3063
      4 Pseudomonas sp. Pd1T
      4 Pseudomonas sp. ps6-31
      4 Sphingomonas melonis
      4 Sphingomonas sp. Air260
      5 Acidithiobacillus thiooxidans
      5 Acinetobacter sp.
      5 Bacillus sp. (in: Bacteria)
      5 [Brevibacterium] frigoritolerans
      5 Delftia sp. SS12.34
      5 Micrococcus sp. 0704P10-2
      5 Pseudomonas frederiksbergensis
      5 Pseudomonas migulae
      5 Shigella sonnei
      5 Staphylococcus sp. ChDC B392
      6 Bacillus sp. CSu3_44
      6 Micrococcus sp. 'Mali 29'
      7 Acinetobacter sp. oral taxon A92
      7 Escherichia coli O157:H7 str. SS17
      7 Escherichia sp. E4742
      7 Micrococcus sp. N21
      7 Pseudomonas mandelii
      7 Sphingomonas sp.
      7 Staphylococcus sp. 5:7
      8 Knoellia sp.
      9 Janthinobacterium lividum
     10 Glutamicibacter nicotianae
     11 Bos taurus
     11 Escherichia fergusonii
     11 Pseudarthrobacter scleromae
     11 soil bacterium b2
     11 Staphylococcus pasteuri
     12 Micrococcus cohnii
     12 Micrococcus lylae
     12 Salmonella enterica subsp. enterica serovar Pullorum
     12 Streptomyces lunaelactis
     13 Staphylococcus sp. 17TA1
     14 Shigella flexneri 5a str. M90T
     14 Shigella flexneri Y
     14 Staphylococcus sp. CS1
     14 Staphylococcus sp. M0911
     20 Lactococcus lactis
     21 Escherichia coli O55:H7 str. CB9615
     21 Escherichia coli str. 'clone D i14'
     21 Shigella flexneri 2a
     24 Acinetobacter junii
     24 Bacillus simplex NBRC 15720 = DSM 1321
     24 Staphylococcus epidermidis
     25 Micrococcus sp. 3S3
     26 Micrococcus yunnanensis
     26 Pseudomonas sp. 1035
     35 Escherichia coli ATCC 25922
     40 Staphylococcus warneri
     41 Shigella flexneri
     53 Acinetobacter gyllenbergii
     54 Bacillus sp. LR90
     54 Bacillus sp. RM117
     55 Bacillus simplex
     64 Delftia sp. JS2312
     96 Pseudomonas protegens
    117 Thermus sp.
    126 Olsenella uli
    140 Lactococcus lactis subsp. cremoris
    142 Stenotrophomonas maltophilia
    155 Pelomonas aquatica
    183 Comamonas sp.
    190 Moraxella osloensis
    199 Cupriavidus sp.
    216 Micromonospora sp.
    224 Candidatus Mycoplasma haemobos
    274 Staphylococcus sp.
    351 Bacillus sp. NSi03
    371 Corynebacterium tuberculostearicum
    410 Mycoplasma wenyonii
    412 Carnobacterium maltaromaticum
    447 Pseudomonas poae
    450 Janthinobacterium sp.
    464 Delftia tsuruhatensis
    483 Pseudomonas sp.
    485 Staphylococcus kloosii
    514 Mycoplasma ovis
    539 bacterium
    580 Cutibacterium acnes
    726 Mycoplasma wenyonii str. Massachusetts
    905 Micrococcus luteus
   1192 Micrococcus sp.
   1366 Escherichia coli
   7231 Acinetobacter tandoii
