      1 Acinetobacter johnsonii
      4 Bacillus sp. SAUK19-5
      4 bacterium MS-AsIII-49
      4 Corynebacteriaceae bacterium 'ARUP UnID 249'
      4 Micrococcus luteus;Micrococcus sp. BAB-4051
      4 Micrococcus lylae
      4 Moraxella sp.
      4 Sphingomonas koreensis
      5 Acinetobacter sp. 51
      5 Micrococcus sp. 0704P10-2
      5 soil bacterium b2
      6 Acinetobacter sp.
      6 Micrococcus sp. Bac143W4
      7 Pseudarthrobacter scleromae
      8 Bos taurus
      8 Micrococcus sp. N21
      9 Pseudomonas sp. 1035
      9 Shigella flexneri
     10 Glutamicibacter nicotianae
     10 Pseudomonas syringae pv. syringae
     12 Bacillus simplex NBRC 15720 = DSM 1321
     12 Delftia sp. JS2312
     12 Pseudomonas sp. S3c-1
     13 Carnobacterium maltaromaticum
     14 Escherichia coli str. 'clone D i14'
     14 Micrococcus sp. 3S3
     15 Micrococcus yunnanensis
     16 Pseudomonas frederiksbergensis
     16 Streptococcus sp. JS71
     19 Candidatus Mycoplasma haemobos
     21 Bacillus subtilis
     21 Escherichia coli ATCC 25922
     21 Escherichia coli O55:H7 str. CB9615
     24 Philantomba maxwellii
     24 Ralstonia solanacearum
     34 Leptothrix sp. (in: Bacteria)
     35 Acinetobacter gyllenbergii
     35 Klebsiella variicola
     51 Bacillus simplex
     52 Rubellimicrobium sp.
     62 Mycoplasma ovis
     70 Corynebacterium tuberculostearicum
     71 Bacillus muralis
     71 Pseudomonas sp.
     73 Delftia tsuruhatensis
     77 Bacillus sp. RM117
     77 Bhargavaea indica
     79 Corynebacterium sp. 'ARUP UnID 248'
     82 Streptococcus parasanguinis
    109 Janthinobacterium sp.
    137 Mycoplasma wenyonii
    167 Corynebacterium aurimucosum
    175 Cutibacterium acnes
    220 Pseudomonas poae
    240 bacterium
    258 Mycoplasma wenyonii str. Massachusetts
    266 Moraxella osloensis
    278 Bacillus sp. (in: Bacteria)
    289 Escherichia coli
    377 Bacillus sp. NSi03
    521 Micrococcus luteus
    554 Kocuria rhizophila
    821 Pseudomonas protegens
    854 Micrococcus sp.
   1184 Haemophilus parainfluenzae
   5075 Acinetobacter tandoii
