      1 Acinetobacter haemolyticus
      1 Sphingomonas sp. 54BI
      1 Sphingomonas sp. PA229
      1 sponge bacterium Zo24
      1 Sporosarcina sp.
      1 Staphylococcus equorum
      1 Staphylococcus hominis subsp. hominis
      1 Staphylococcus hominis subsp. novobiosepticus
      1 Staphylococcus rostri
      1 Staphylococcus sp.
      1 Staphylococcus sp. 18L1
      1 Staphylococcus sp. 9:4
      1 Staphylococcus sp. US-40
      2 Acinetobacter sp. oral taxon A92
      2 Bacillus sp. 5073
      2 Bacillus sp. KBC-JUNE-E-9F
      2 Bacillus sp. P1_1_5
      2 bacterium JCT2
      2 bacterium NLAE-zl-G464
      2 Brachybacterium sp. MCCC 1A11240
      2 Brevibacterium sp.
      2 Delftia sp. 6(1-1)(5.22)
      2 Escherichia sp. EMB 339
      2 Lawsonella clevelandensis
      2 Micrococcus sp. GPM2602
      2 Pseudomonas helleri
      2 Pseudomonas migulae
      2 Pseudomonas psychrophila
      2 Pseudomonas sp. II-09
      2 Pseudomonas sp. Is3
      2 Pseudomonas sp. N15zhy
      2 Pseudomonas sp. oral taxon D11
      2 Pseudomonas sp. PO366
      2 Pseudomonas sp. ps6-31
      2 Pseudomonas sp. s5
      2 Shigella sp.
      2 Sphingomonas hylomeconis
      2 Staphylococcus cohnii
      2 Staphylococcus lugdunensis
      2 Streptomyces sp. BC37
      2 Zymomonas mobilis
      3 Acinetobacter junii
      3 Acinetobacter sp. 51
      3 Bacillus sp. B2101
      3 Escherichia sp. SOD-7317
      3 Micrococcus sp. BG-9-R5
      3 Micrococcus sp. M3451
      3 Micrococcus sp. 'Mali 29'
      3 Moraxella sp.
      3 Mycoplasma suis
      3 Pseudomonas savastanoi
      3 Pseudomonas sp. 8R6
      3 Pseudomonas sp. D5-2(2016)
      3 Pseudomonas tremae
      3 Sphingomonas koreensis
      3 Staphylococcus epidermidis
      3 Staphylococcus sp. 5:7
      4 Actinomyces israelii
      4 Caminibacter mediatlanticus TB-2
      4 Lysinibacillus macroides
      4 marine sponge bacterium LIQUIDt167
      4 Micrococcus aloeverae
      4 Micrococcus sp. BYC1
      4 Micrococcus sp. LBRF-6
      4 Moraxella sp. 30C(2010);Moraxella sp. 24B(2010)
      4 Pseudomonas sp. B1077
      4 rumen bacterium YS1
      4 Staphylococcus sp. ChDC B392
      4 Staphylococcus sp. SL-10
      5 Acidithiobacillus thiooxidans
      5 Bacillaceae bacterium AM5(2012)
      5 bacterium NLAE-zl-G506
      5 Bos taurus
      5 [Brevibacterium] frigoritolerans
      5 Escherichia coli O157
      5 Knoellia sp.
      5 Micrococcus sp. N21
      5 Pseudomonadales bacterium HD-C-02-3
      5 Pseudomonas fluorescens
      5 Pseudomonas sp. A2096
      5 Pseudomonas sp. H50
      5 Pseudomonas syringae pv. syringae
      6 actinobacterium CA10
      6 Bacillus muralis
      6 Bacillus sp. A23MC2
      6 Micrococcus sp. 0704P10-2
      6 Pseudomonas sp. M24
      6 Salmonella enterica subsp. enterica serovar Pullorum
      7 Escherichia marmotae
      7 Micrococcus cohnii
      7 Shigella flexneri 2a
      7 Shigella flexneri 5a str. M90T
      7 soil bacterium b2
      7 Staphylococcus pasteuri
      8 Acinetobacter sp.
      8 Escherichia fergusonii
      8 Staphylococcus sp. 17TA1
      9 Bacillus sp. LR90
      9 Micrococcus lylae
      9 Pseudomonas sp. A2102
     10 Pseudomonas putida
     10 Shigella sonnei
     11 Glutamicibacter nicotianae
     12 Enterococcus faecium
     13 Pseudarthrobacter scleromae
     14 Bacillus simplex
     15 Bacillus sp. CSu3_44
     17 Pseudomonas frederiksbergensis
     20 Micrococcus yunnanensis
     21 Escherichia coli O103:H2
     21 Escherichia coli str. 'clone D i14'
     21 Micrococcus sp. 3S3
     24 Delftia sp. JS2312
     24 Pseudomonas sp. 1035
     36 Bacillus simplex NBRC 15720 = DSM 1321
     42 Escherichia coli O55:H7 str. CB9615
     49 Candidatus Mycoplasma haemobos
     49 Escherichia coli ATCC 25922
     57 Staphylococcus warneri
     69 Acinetobacter gyllenbergii
     74 Micromonospora sp.
     78 Sphingomonas sp.
     86 Mycoplasma wenyonii
     88 Bacillus sp. RM117
     95 Shigella flexneri
    107 Carnobacterium sp. PL12RED10
    135 bacterium AC2032
    148 Janthinobacterium lividum
    150 Pseudomonas graminis
    151 Bacillus sp. (in: Bacteria)
    154 Delftia tsuruhatensis
    185 Pseudomonas poae
    274 Pseudoxanthomonas japonensis
    301 Mycoplasma wenyonii str. Massachusetts
    316 Staphylococcus hominis
    338 Moraxella osloensis
    361 bacterium
    368 Mycoplasma ovis
    444 Bacillus sp. NSi03
    504 Cutibacterium acnes
    572 Pseudomonas sp.
    582 Staphylococcus kloosii
    827 Micrococcus luteus
   1031 Pseudomonas protegens
   1180 Micrococcus sp.
   1472 Escherichia coli
   6958 Acinetobacter tandoii
